body kg brain g
1 6.6
3.385 44.5
0.92 5.7
10.55 179.5
0.023 0.3
160 169
3.3 25.6
52.16 440
0.425 6.4
0.55 2.4
187.1 419
0.075 1.2
3 25
0.785 3.5
0.2 5
1.41 17.5
60 81
27.66 115
0.12 1
207 406
85 325
36.33119.5
0.101 4
1.04 5.5
100 157
35 56
0.005 0.14
0.01 0.25
0.122 3
1.35 8.1
0.023 0.4
0.048 0.33
1.7 6.3
3.5 10.8
250 490
0.48 15.5
10 115
1.62 11.4
192 180
2.5 12.1
4.288 39.2
0.28 1.9
4.235 50.4
6.8 179
0.75 12.3
3.6 21
83 98.2
55.5 175
1.4 12.5
0.06 1
0.9 2.6
2 12.3
0.104 2.5
4.19 58
3.5 3.9
4.05 17
